Размер;"Категория товара";Коллекция;"Вес изделия в упаковке";Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Ткань низ";Состав;Номенклатура;Количество;Цена;Фото;Описание
;"Одеяло байковое";;;Ермолино;Россия;;"ОБ-100х140 57-8ЕТЖ-зелено";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531946;;Бежевый;;;"100% хлопок";"Зеленое  Байковое жаккард 100х140 100% х/б арт. 57-8ЕТЖ Ермолино одеяло";9;457;http://alvitek.com.ru/upload/iblock/bbc/bbc69c6ad0619602005949d7939db006.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
;"Комплект постельного белья";;;Экзотика;Россия;;"Э-Б5-семья-Июльское утро";"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000888594309;;;;;;"Июльское утро КПБ Семья (5) ""Экзотика"" Поплин";3;1421;http://alvitek.com.ru/upload/iblock/50e/50edf0b0fea609bc5b0f4afe91b4faf0.jpeg;
;Наматрасник;Холфит;;"AlViTek (АльВиТек)";Россия;;НФ-120;120х200;;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048003886;;"Набивной рисунок,может отличаться от цвета на фото";;;;"НФ-120  Наматрасник с резинкой ""Холфит-Традиция"" 120х200";9;403;http://alvitek.com.ru/upload/iblock/86f/86f0a6ea0375b85a0a024fa0cd0c72f2.jpeg;"наматрасник на резинке с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г./кв.м), чехол - ткань 100% ПЭ, окантовка- бейка ПЭ, бирка, постер, в чемодане"
;Подушка;Холфит;;"AlViTek (АльВиТек)";Россия;Стандарт;ПБФД-4060;40х60;;Мягкая;;;;;;Холфит-пласт;;;;;;Поликоттон;"70% хлопок/30% полиэстр";;;;;;Кант;Пакет;;;;;4607048003749;;"Набивной рисунок,может отличаться от цвета на фото";;;;"ПБФД-4060 Подушка ""Светлячок"" 40х60";24;123;http://alvitek.com.ru/upload/iblock/227/227c7ca74cced6fb996dd1a1fc45175f.jpeg;"подушка с отстрочкой: наполнитель ""Холфит-пласт"" 300 г/кв.м, чехол - ткань смесовая (поликоттон; 70% - хлопок/30% - полиэстер; 120 г/кв.м) , кант, бирка, постер, пакет"
;Простыня;;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-БЕЖ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012604;;Бежевый;;;;"ПР-СО-150-БЕЖ Бежевая Простынь ткань Сатин однотонный 150х214";7;517;http://alvitek.com.ru/upload/iblock/268/268e636e914d647c56e6e2a095d662cc.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
;Простыня;;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-РОЗ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012611;;Розовый;;;;"ПР-СО-150-РОЗ Розовая Простынь ткань Сатин однотонный 150х214";6;517;http://alvitek.com.ru/upload/iblock/b45/b454ecac8cc1fd27253c425b76b1d622.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
;Простыня;;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-ГОЛ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012598;;Голубой;;;;"ПР-СО-150-ГОЛ Голубая Простынь ткань Сатин однотонный 150х214";7;517;http://alvitek.com.ru/upload/iblock/9da/9dae375cb429d25514ecbc0f5e4dacba.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
;Простыня;;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-САЛ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012628;;Салатовый;;;;"ПР-СО-150-САЛ Салатовая Простынь ткань Сатин однотонный 150х214";5;517;http://alvitek.com.ru/upload/iblock/099/099c2f01c07755d02890f2df44975880.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
;Простыня;;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-ГОЛ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012642;;Голубой;;;;"ПР-СО-180(180)-ГОЛ Голубая Простынь ткань Сатин однотонный 180х214";5;613;http://alvitek.com.ru/upload/iblock/539/5393198bd3d1474b2892c8e1996a3917.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
;Простыня;;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-РОЗ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012659;;Розовый;;;;"ПР-СО-180(180)-РОЗ Розовая Простынь ткань Сатин однотонный 180х214";5;613;http://alvitek.com.ru/upload/iblock/49a/49aafbcdbbfbf9074c3f839c6f535968.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
;Простыня;;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-САЛ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012666;;Салатовый;;;;"ПР-СО-180(180)-САЛ Салатовая Простынь ткань Сатин однотонный 180х214";5;613;http://alvitek.com.ru/upload/iblock/6b9/6b97e20587f69195bf53449120e49bde.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
;Простыня;;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-22-БЕЖ;220х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012673;;Бежевый;;;;"ПР-СО-22-БЕЖ Бежевая Простынь ткань Сатин однотонный 214х220";1;748;http://alvitek.com.ru/upload/iblock/e22/e2217df493bd699a740127e1cf7ceb1e.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
;Простыня;;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-22-ГОЛ;220х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012680;;Голубой;;;;"ПР-СО-22-ГОЛ Голубая Простынь ткань Сатин однотонный 214х220";4;748;http://alvitek.com.ru/upload/iblock/977/977049172e3c38dd6d3366646d185469.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-БЕЖ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017456;;Бежевый;;;;"ПОД-СО-15-БЕЖ Бежевый пододеяльник Сатин однотонный 145х215";3;909;http://alvitek.com.ru/upload/iblock/f84/f84ee4694ee43282328d5682abf73f94.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-БЕЛ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017463;;Белый;;;;"ПОД-СО-15-БЕЛ Белый пододеяльник Сатин однотонный 145х215";1;909;http://alvitek.com.ru/upload/iblock/c77/c7793f9943083cf7fd4cb4dcd0aa1546.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-ГОЛ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017470;;Голубой;;;;"ПОД-СО-15-ГОЛ Голубой пододеяльник Сатин однотонный 145х215";6;909;http://alvitek.com.ru/upload/iblock/41d/41d0c563bd34068fe1c177562ba508e3.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-ЖСЕР;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017487;;Жемчужносерый;;;;"ПОД-СО-15-ЖСЕР Жемчужносерый пододеяльник Сатин однотонный 145х215";5;909;http://alvitek.com.ru/upload/iblock/08a/08a27c9683a1ab83488973a97e42368b.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-КОБ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017494;;Кобальт;;;;"ПОД-СО-15-КОБ Кобальт пододеяльник Сатин однотонный 145х215";10;909;http://alvitek.com.ru/upload/iblock/2d8/2d836641bbc1c242d47638d74c32a167.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-РОЗ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017722;;Розовый;;;;"ПОД-СО-15-РОЗ Розовый пододеяльник Сатин однотонный 145х215";8;909;http://alvitek.com.ru/upload/iblock/894/8940da72522e3cb22b577941db460df0.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-САЛ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017517;;Салатовый;;;;"ПОД-СО-15-САЛ Салатовый пододеяльник Сатин однотонный 145х215";6;909;http://alvitek.com.ru/upload/iblock/b68/b68a363d69a6e42396d8d0b1c423bf1c.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-ШОК;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017531;;Шоколадный;;;;"ПОД-СО-15-ШОК Шоколадный пододеяльник Сатин однотонный 145х215";7;909;http://alvitek.com.ru/upload/iblock/51b/51be05614c16aa306a2345bd3c90bf31.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-БЕЛ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017555;;Белый;;;;"ПОД-СО-20-БЕЛ Белый пододеяльник Сатин однотонный 175х215";6;1084;http://alvitek.com.ru/upload/iblock/e91/e9100224f2e703abff0a7da247dea4e8.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-БЕЖ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017548;;Бежевый;;;;"ПОД-СО-20-БЕЖ Бежевый пододеяльник Сатин однотонный 175х215";8;1084;http://alvitek.com.ru/upload/iblock/560/560b66f7159b1a7d1f7ca69d0a4dfcfe.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-ГОЛ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017562;;Голубой;;;;"ПОД-СО-20-ГОЛ Голубой пододеяльник Сатин однотонный 175х215";2;1084;http://alvitek.com.ru/upload/iblock/903/903610ca315f3f910fa8dc9e37aa95ca.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-ЖСЕР;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017579;;Жемчужносерый;;;;"ПОД-СО-20-ЖСЕР Жемчужносерый пододеяльник Сатин однотонный 175х215";4;1084;http://alvitek.com.ru/upload/iblock/067/067824dd1a6e77be9887b95376af6644.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-КОБ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017586;;Кобальт;;;;"ПОД-СО-20-КОБ Кобальт пододеяльник Сатин однотонный 175х215";10;1084;http://alvitek.com.ru/upload/iblock/833/8335d99836e86170aee012241f3279e5.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-РОЗ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017593;;Розовый;;;;"ПОД-СО-20-РОЗ Розовый пододеяльник Сатин однотонный 175х215";4;1084;http://alvitek.com.ru/upload/iblock/1ab/1ab0682e13d6fefa74b283b3e39352e5.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-САЛ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017609;;Салатовый;;;;"ПОД-СО-20-САЛ Салатовый пододеяльник Сатин однотонный 175х215";2;1084;http://alvitek.com.ru/upload/iblock/134/134be4e5dd3ab84a6fb105ecd275eb5b.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-ШОК;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017623;;Шоколадный;;;;"ПОД-СО-20-ШОК Шоколадный пододеяльник Сатин однотонный 175х215";4;1084;http://alvitek.com.ru/upload/iblock/93c/93cdb8cdca760ca05923dec37e5845e1.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-22-БЕЛ;;;;;200х220;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017647;;Белый;;;;"ПОД-СО-22-БЕЛ Белый пододеяльник Сатин однотонный 200х220";3;1357;http://alvitek.com.ru/upload/iblock/7c7/7c71ce49ece1551b450016a30a5fb675.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-22-БЕЖ;;;;;200х220;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017630;;Бежевый;;;;"ПОД-СО-22-БЕЖ Бежевый пододеяльник Сатин однотонный 200х220";4;1357;http://alvitek.com.ru/upload/iblock/39d/39dafd27aeb8560b58be730eecf033b3.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-22-ГОЛ;;;;;200х220;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017654;;Голубой;;;;"ПОД-СО-22-ГОЛ Голубой пододеяльник Сатин однотонный 200х220";4;1357;http://alvitek.com.ru/upload/iblock/e7f/e7f617b03782af146ab4eab0cb14695e.jpeg;
;Пододеяльник;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-22-ЖСЕР;;;;;200х220;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017661;;Жемчужносерый;;;;"ПОД-СО-22-ЖСЕР Жемчужносерый пододеяльник Сатин однотонный 200х220";3;1357;http://alvitek.com.ru/upload/iblock/3fb/3fb994bcf42625ab027b217c3f2e0760.jpeg;
;Одеяло;Модерато;;"AlViTek (АльВиТек)";Россия;Люкс;МС-О-20;172х205;Легкое;;;;;;;"Овечья шерсть Меринос,пэ";;;"200 гр/кв.м";;;"Сатин жаккард";"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048003527;;Кремовый;;;;"МС-О-20  Одеяло ""Модерато"" 172х205 легкое";18;1683;http://alvitek.com.ru/upload/iblock/450/450e92e42ee2c37889a4dbc46120647d.jpeg;"одеяло с наполнителем из овечьей шерсти меринос 200 г/кв.м, чехол (хлопок 100%)- ткань сатин-жаккард бежевый , окантовка - косая бейка, уголок, бирка, флажок, постер, в чемодане"
;Наматрасник;Холкон;;"AlViTek (АльВиТек)";Россия;;МХУ-9-070;70х200;;Упругая;;;;;"9 см";Холкон;;;"1800 гр/кв.м";;;Полисатин;"100%  пэ";Молния;;;;;Кант;Пакет;;;;;4607047010700;;"Набивной рисунок,может отличаться от цвета на фото";;;;"МХУ-9-070 Матрас ""Холкон"" 70х200х9";5;970;http://alvitek.com.ru/upload/iblock/ed1/ed134dadab2869ab82bda22549d93ad1.jpeg;"матрас Холлкон, чехол на молнии, стежка - ""Ультрастеп"" (ткань - ПЭ,синтепон 100 г/кв.м) , наполнитель - Холкон 1400, высота - 9см, бирка, упаковка - пленка ПЭ"
;"Комплект постельного белья";;;Экзотика;Россия;;Э-Б5-22-Элиза;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925534305;;;;;;"Элиза КПБ евро (5) ""Экзотика"" Поплин";2;1169;http://alvitek.com.ru/upload/iblock/82d/82d45c8845e5d2c7a4b181b3081f7e3c.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
;"Набор полотенец";;;MERZUKA;Турция;;9724-пудра;50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925541945;;;;;;"Пудра HIBISCUS арт.9724  (50х80+70х130 ) в коробке Набор полотенец  MERZUKA";4;674;http://alvitek.com.ru/upload/iblock/8b8/8b8618e3f0ef753b1918f6d4f7255c1b.jpeg;
;"Набор полотенец";;;MERZUKA;Турция;;9724-розовый;50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925541952;;;;;;"Розовый HIBISCUS арт.9724  (50х80+70х130 ) в коробке Набор полотенец  MERZUKA";2;674;http://alvitek.com.ru/upload/iblock/040/0408138a4b998264977ae5b42003d6f1.jpeg;
;"Набор полотенец";;;MERZUKA;Турция;;9724-светло-лиловый;50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925541969;;;;;;"Светло-лиловый HIBISCUS арт.9724  (50х80+70х130 ) в коробке Набор полотенец  MERZUKA";1;674;http://alvitek.com.ru/upload/iblock/39e/39ebc0155568002b1e7d27d0913d71b2.jpeg;
;"Набор полотенец";;;MERZUKA;Турция;;9724-сиреневый;50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925541983;;;;;;"Сиреневый HIBISCUS арт.9724  (50х80+70х130 ) в коробке Набор полотенец  MERZUKA";1;674;http://alvitek.com.ru/upload/iblock/477/47788c1380b79d85c5ec9cd526c2bc63.jpeg;
;"Набор полотенец";;;"Метеор Текстиль";Турция;;"Метеор -9644";30х50;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925541822;;;;;;"9644-Оливки М  (30х50)х2шт в коробке Набор кухонный Метеор";26;186;http://alvitek.com.ru/upload/iblock/713/713f5c5b89f5212a747fbb672746753d.jpeg;
;"Набор полотенец";;;"Метеор Текстиль";Турция;;"Метеор -9659";30х50;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925541839;;;;;;"9659-Яблоко М  (30х50)х2шт в коробке Набор кухонный Метеор";21;186;http://alvitek.com.ru/upload/iblock/6c1/6c1f2f7cf8efe43eb3a769b57943fe1d.jpeg;
;"Набор полотенец";;;"Метеор Текстиль";Турция;;"Метеор -9726";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925541792;;;;;;"9726 LAVANTA Люкс В  (40х60)х2шт в коробке Набор кухонный Метеор";16;186;http://alvitek.com.ru/upload/iblock/34f/34f42f97224e456457bfb2367cdb6719.jpeg;
;"Набор полотенец";;;"Метеор Текстиль";Турция;;"Метеор -9737";30х50;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"3 шт.";;;2000925541815;;;;;;"9737 Лаванда М (30х50)х3шт в коробке Набор кухонный Метеор";13;253;http://alvitek.com.ru/upload/iblock/819/819e2fff86f0fb00fec62ff31b952520.jpeg;
;"Набор полотенец";;;"Метеор Текстиль";Турция;;"Метеор -9483";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925541785;;;;;;"9483 BIONCE ASCI В  (40х60)х2шт в коробке Набор кухонный Метеор";7;190;http://alvitek.com.ru/upload/iblock/71d/71d92335d1c9c07f5215d24bf6fe7e9d.jpeg;
;"Комплект постельного белья";;;Арлет;;;ARLET-1,5-CD435-1;Полутороспальное;;;"70х70 (2шт.)";150х210;150х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925555287;;;;;;"CD435-1 КПБ 1,5 СП Сатин печатный нав-ки ( 70х70х2 шт ) ARLET";1;1294;http://alvitek.com.ru/upload/iblock/278/278eefadb723d873ee38e61532642ea2.jpeg;
